"INTERNAL,N,6,0","INACTIVE,L","PART_NO,C,20","DESC,C,70","DESC1,C,70","PRINTD1,L","TYPE,C,1","GROUP,N,6,0","GROUP1,N,4,0","GROUP2,N,4,0","GROUP3,N,4,0","SALE_ACC,N,5,0","BUY_ACC,N,5,0","UNIT,C,10","BIN,C,10","PRICE1,N,13,3","QTY1,N,9,2","PRICE2,N,13,3","QTY2,N,9,2","PRICE3,N,13,3","QTY3,N,9,2","PRICE4,N,13,3","QTY4,N,9,2","PRICE5,N,13,3","QTY5,N,9,2","SPRICE,N,13,3","SDATE1,D","SDATE2,D","COST,N,14,4","FACTOR,N,7,3","PUR_QTY,N,14,3","PUR_AMOUNT,N,15,3","QTY,N,12,3","BACKORDER,N,12,4","ONORDER,N,12,4","ONLAYBY,N,10,2","LASTSOLD,D","LASTBUY,D","LASTORDER,D","MINIMUM,N,8,0","MAXIMUM,N,8,0","TAXCODE,C,3","TAXCODE1,C,3","NOTES,C,57","TRACKSER,L","SUPPLIER,N,4,0","EDITQTY,L","BLOCKDISC,L","EDITPRICE,L","SELLUNIT,N,6,0","BUYUNIT,N,6,0","MADEUP,L","BFQTY,N,12,3","BFCOST,N,15,4","SPICTURE,C,80","USRPROMPT,C,80","EXPIRY,L","S_POINTS,N,8,0","USESCALE,L","CON_OUT,N,11,3","CON_IN,N,11,3","RELEASEDON,D","WEBSTORE,L","FROMTIME,C,5","TOTIME,C,5","COSTDATE,D","COSTDATE1,D","TEMPCOST,N,15,3","DAYS,N,5,0","BLOCKFRAC,L","MINSELL,N,13,3","SELLCHANGE,D","SPECIALS,N,3,0"
1,FALSE,28001404450,JENNIFER LOPEZ SECRETS PINK ROSE LIGHTENING AND MO,,FALSE,,22,0,0,0,0,0,,,13771.3,1,0,0,13495.87,3,0,0,0,0,0,,,6670,0,0,0,0,0,0,0,1/11/2025,10/16/2023,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,TRUE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,7/15/2025,0
2,FALSE,20011,CERAVE DAILY MOISTURIZING LOTION FOR NORMAL TO DRY 355ml,,FALSE,,1,0,0,0,0,0,,,31000,1,0,0,30500,3,0,0,0,0,0,,,23000,0,0,0,6,0,0,0,7/10/2025,6/26/2025,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,12,,FALSE,7:00,20:00,,,0,0,FALSE,0,6/26/2025,0
3,FALSE,3606000000000,CERAVE MOISTURIZING CREAM 453G,,FALSE,,1,0,0,0,0,0,,,38500,1,0,0,38000,3,0,0,0,0,0,,,28000,0,0,0,13,0,0,0,7/12/2025,7/3/2025,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,6,,FALSE,7:00,20:00,,,0,0,FALSE,0,7/3/2025,0
4,TRUE,20074,QUICK ACTION SKIN MAGNET LIGHTENING LOTION 250ML,,FALSE,,1,0,0,0,0,0,,,3000,1,0,0,2700,3,0,0,0,0,0,,,1085,0,0,0,0,0,0,0,,,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/7/2025,0
5,FALSE,20083,BISMID PERFECT FIRMING AND EXTRA WHITENING LOTION,,FALSE,,1,0,0,0,0,0,,,24383.84,1,0,0,23896.17,3,0,0,0,0,0,,,13000,0,0,0,1,0,0,0,4/14/2025,6/14/2023,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/7/2025,0
6,FALSE,98864006856,CRYSTAL WHITE UV LIGHTENING MILK 250ML,,FALSE,,1,0,0,0,0,0,,,10672.2,1,0,0,10458.76,3,0,0,0,0,0,,,5500,0,0,0,5,0,0,0,6/5/2025,2/2/2024,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,3,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/7/2025,0
7,FALSE,20149,QUICK ACTION SKIN MAGNET LOTION 250ML,,FALSE,,1,0,0,0,0,0,,,5773.23,1,0,0,5657.76,3,0,0,0,0,0,,,1085,0,0,0,6,0,0,0,,6/22/2023,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/7/2025,0
8,FALSE,20191,CETAPHIL MOISTURIZING LOTION 591ML,,FALSE,,1,0,0,0,0,0,,,29500,1,0,0,29000,3,0,0,0,0,0,,,20000,0,0,0,5,0,0,0,4/10/2025,1/18/2025,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,4,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/7/2025,0
9,FALSE,20194,PERLAY BEAUTY LOTION 550ML,,FALSE,,1,0,0,0,0,0,,,7000,1,0,0,7000,3,0,0,0,0,7000,4/1/2025,12/30/2025,3000,0,0,0,5,0,0,0,10/26/2023,6/23/2023,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,2,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/7/2025,0
10,FALSE,412553,CETAPHIL MOISTURIZING CREAM ULTIMATE WITH ANTIOXIDANT 566G,,FALSE,,1,0,0,0,0,0,,,32000,1,0,0,31500,3,0,0,0,0,0,,,22000,0,0,0,6,0,0,0,2/1/2025,4/18/2025,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/7/2025,0
